district,Jun19,Jul19,Aug19,Sep19,Oct19,Nov19,Dec19,Jan20,Feb20,Mar20,Apr20,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21,May21
Amnat Charoen#Chanuman,60,49,67,45,3.0,1.0,10.0,3.0,4.0,6.0,10.0,6.0,8.0,9.0,6,6.0,22.0,22,33,137,156,198,160,18.0
Amnat Charoen#Hua Taphan,77,97,76,59,12.0,8.0,14.0,8.0,5.0,20.0,8.0,4.0,5.0,14.0,19,16.0,29.0,24,50,142,178,138,148,21.0
Amnat Charoen#Lue Amnat,58,80,96,69,10.0,8.0,7.0,19.0,6.0,9.0,3.0,8.0,9.0,15.0,10,7.0,22.0,39,53,99,119,107,107,13.0
Amnat Charoen#Mueang Amnat Charoen,443,565,592,396,68.0,45.0,60.0,43.0,37.0,53.0,43.0,40.0,59.0,107.0,88,67.0,125.0,127,227,687,764,799,615,74.0
Amnat Charoen#Pathum Ratchawongsa,58,67,76,50,12.0,5.0,4.0,7.0,8.0,9.0,8.0,7.0,14.0,11.0,10,14.0,25.0,29,30,100,109,125,127,20.0
Amnat Charoen#Phana,46,42,47,35,3.0,3.0,7.0,3.0,6.0,6.0,4.0,2.0,8.0,8.0,9,10.0,7.0,14,17,67,61,69,70,10.0
Amnat Charoen#Senangkhanikhom,44,62,76,57,10.0,11.0,16.0,6.0,8.0,12.0,9.0,6.0,12.0,10.0,9,15.0,14.0,18,32,127,126,117,121,5.0
Ang Thong#Chaiyo,198,249,309,201,16.0,8.0,13.0,16.0,8.0,60.0,19.0,11.0,12.0,27.0,30,25.0,59.0,47,92,229,299,294,262,26.0
Ang Thong#Mueang Ang Thong,722,810,956,670,70.0,45.0,62.0,45.0,43.0,82.0,41.0,37.0,51.0,88.0,112,70.0,123.0,143,244,628,1005,1077,767,86.0
Ang Thong#Pa Mok,232,320,306,263,20.0,10.0,18.0,13.0,7.0,15.0,6.0,10.0,12.0,33.0,23,16.0,37.0,51,57,187,281,302,246,20.0
