province,Jun19,Jul19,Aug19,Sep19,Oct19,Nov19,Dec19,Jan20,Feb20,Mar20,Apr20,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21,May21
Amnat Charoen,714,856,946,653,114,79,111,89,69,110,82,69,110,156,143,124,222,245,391,1230,1324,1377,1192,142
Ang Thong,1988,2352,2716,1906,176,113,189,121,111,264,136,128,150,278,291,222,503,465,654,1868,2603,2845,2196,265
Bangkok,74839,89934,111404,82747,7088,4730,6347,4312,4014,6208,1918,2350,4284,8320,9859,8717,10348,11241,12301,36741,58831,71808,41431,4242
Bueng Kan,722,841,829,706,110,59,118,86,62,108,39,59,82,179,201,196,250,344,423,1063,1151,1317,1201,159
Buri Ram,3907,4688,4950,3679,584,387,755,558,373,538,284,211,501,899,982,951,1361,1628,2251,4495,4765,5884,4781,711
Chachoengsao,6855,7490,8453,6808,630,342,537,389,321,728,364,355,504,874,971,838,1386,1468,1858,6841,10830,11850,8332,806
Chai Nat,1795,2239,2431,1815,180,138,226,149,123,184,108,111,155,334,324,286,493,476,601,1919,2782,3148,2352,182
Chaiyaphum,2758,3748,3540,2468,416,276,551,350,262,427,252,232,363,635,733,588,974,1077,1549,4002,4087,4493,4428,564
Chanthaburi,5013,5516,5549,4019,504,284,433,324,402,625,238,284,391,652,763,711,958,1111,1153,3127,6736,7548,6649,569
Chiang Mai,11607,13615,15117,12214,1631,1305,1939,1199,885,1188,465,523,880,1821,2158,2038,2524,3180,3247,10990,11971,13579,7364,802
Chiang Rai,5111,5843,6203,5044,718,590,850,586,455,609,279,280,439,855,978,907,1341,1399,1413,6818,7273,8144,5786,519
Chon Buri,30662,35877,39703,31870,3253,1910,2650,1748,1598,2561,1078,1063,1839,3701,4381,3997,5025,6090,6623,15177,34997,43725,28890,2496
Chumphon,2118,2705,3118,2104,275,161,272,176,162,352,111,119,235,467,495,422,574,675,772,2946,4212,4603,3679,326
Kalasin,2006,2154,2342,1912,311,166,420,273,184,345,224,172,286,487,508,474,835,884,1333,2853,2731,3241,3256,490
Kamphaeng Phet,2069,2635,2668,2080,278,194,321,238,166,297,171,155,242,405,463,402,703,727,1084,3864,4301,4692,3619,334
Kanchanaburi,7318,9015,9881,7547,759,504,733,464,421,699,322,393,661,1117,1275,1073,1548,1835,2201,7704,10038,10306,8067,780
Khon Kaen,9209,11015,12640,9381,1246,937,1401,959,766,1176,576,593,984,1793,2109,1900,2573,2826,3579,10015,11265,13121,9829,1514
Krabi,2463,2523,2652,2259,357,243,324,222,211,615,65,80,187,469,547,569,718,837,891,2803,3896,4644,4578,259
Lampang,3491,4202,4365,3295,462,310,481,371,235,397,171,237,364,626,645,615,772,922,1202,4823,5461,5844,4007,411
Lamphun,1687,1936,2053,1689,220,145,218,148,112,185,68,87,151,291,290,216,360,411,521,1887,2235,2621,1636,223
Loei,1598,2296,2121,1648,361,208,415,229,148,237,152,143,217,445,462,445,803,997,1322,2847,2799,2907,2570,360
Lop Buri,4859,5657,6606,4747,573,360,550,360,307,499,259,278,377,762,833,679,1345,1370,1809,5558,7060,7707,5554,659
Mae Hong Son,574,681,659,614,129,104,161,100,62,72,33,27,60,100,81,106,179,314,326,928,780,773,523,56
Maha Sarakham,2627,3220,3462,2492,405,320,493,355,275,460,224,239,370,669,843,723,1074,1094,1532,3328,2854,3907,3673,528
