province,Jul19,Aug19,Sep19,Oct19,Nov19,Dec19,Jan20,Feb20,Mar20,Apr20,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21,May21,Jun21
Amnat Charoen,727.0,678.0,645.0,793.0,700.0,678.0,838.0,675.0,736.0,609.0,1026.0,1033.0,859.0,675.0,747.0,672.0,764.0,729.0,790.0,763.0,760.0,780.0,763.0,945.0
Ang Thong,629.0,861.0,626.0,1028.0,678.0,651.0,1217.0,868.0,1111.0,463.0,766.0,955.0,759.0,793.0,675.0,681.0,1025.0,744.0,706.0,1033.0,725.0,731.0,637.0,890.0
Bangkok,16575.0,17600.0,16499.0,16112.0,16854.0,23904.0,18874.0,15104.0,13775.0,9557.0,7340.0,16745.0,15847.0,8456.0,12058.0,13627.0,5963.0,11537.0,14223.0,12147.0,13545.0,11873.0,9611.0,9996.0
Bueng Kan,710.0,640.0,596.0,784.0,729.0,666.0,1053.0,712.0,753.0,602.0,988.0,1034.0,794.0,693.0,676.0,682.0,1190.0,937.0,713.0,706.0,743.0,741.0,681.0,889.0
Buri Ram,2410.0,2323.0,2429.0,2692.0,2645.0,2388.0,2869.0,1742.0,2249.0,1400.0,2687.0,3418.0,3268.0,2670.0,2635.0,2370.0,2442.0,2122.0,1993.0,1988.0,2232.0,2277.0,2147.0,2366.0
Chachoengsao,2330.0,2435.0,2573.0,2678.0,2665.0,2453.0,2950.0,2044.0,2248.0,1184.0,3277.0,3394.0,3257.0,2469.0,2452.0,2341.0,2283.0,2119.0,2078.0,3464.0,2576.0,2469.0,2530.0,2142.0
Chai Nat,722.0,604.0,1053.0,682.0,1084.0,658.0,1053.0,775.0,691.0,458.0,797.0,921.0,775.0,752.0,813.0,732.0,1020.0,739.0,701.0,686.0,737.0,734.0,621.0,894.0
Chaiyaphum,1411.0,1904.0,1704.0,1718.0,1341.0,1418.0,2075.0,1349.0,1717.0,877.0,2536.0,2761.0,2650.0,2105.0,1837.0,1687.0,2063.0,1910.0,1887.0,2040.0,2097.0,1416.0,2126.0,1675.0
Chanthaburi,1399.0,1732.0,1792.0,1917.0,1421.0,1411.0,2174.0,1632.0,1512.0,938.0,1821.0,2671.0,2729.0,1867.0,1667.0,2132.0,1810.0,1519.0,1720.0,1672.0,2112.0,2015.0,1765.0,2034.0
Chiang Mai,3780.0,3737.0,3507.0,4166.0,4525.0,4241.0,3681.0,2964.0,3282.0,2175.0,4181.0,4774.0,4012.0,3733.0,3845.0,3893.0,3565.0,3376.0,3602.0,3703.0,4689.0,3804.0,4352.0,4902.0
Chiang Rai,2602.0,2653.0,2510.0,2514.0,2686.0,2701.0,2886.0,2176.0,2424.0,1405.0,3419.0,3892.0,3868.0,2486.0,2714.0,2375.0,2371.0,2213.0,2164.0,2845.0,2978.0,2974.0,2685.0,2821.0
Chon Buri,3611.0,3650.0,4283.0,3760.0,4406.0,7417.0,5412.0,3616.0,3252.0,1999.0,3315.0,4753.0,4154.0,3704.0,3375.0,3401.0,3771.0,3844.0,3337.0,3659.0,4238.0,4202.0,3568.0,3734.0
Chumphon,1283.0,1311.0,1248.0,1350.0,1315.0,1364.0,1553.0,1172.0,1164.0,853.0,1655.0,1652.0,1491.0,1209.0,1291.0,1312.0,1639.0,1104.0,1488.0,1893.0,2230.0,1384.0,1385.0,2074.0
Kalasin,1337.0,1286.0,1549.0,1419.0,1413.0,1398.0,1677.0,1273.0,1374.0,996.0,1988.0,1943.0,1638.0,1410.0,1466.0,1659.0,1798.0,1138.0,1253.0,1278.0,2043.0,2058.0,1897.0,1489.0
Kamphaeng Phet,1315.0,1376.0,1666.0,1680.0,1384.0,1388.0,1963.0,1167.0,1515.0,858.0,1954.0,1735.0,1689.0,1161.0,1289.0,1353.0,1627.0,1087.0,1489.0,1523.0,1998.0,2080.0,1947.0,1379.0
Kanchanaburi,2168.0,1853.0,1886.0,2379.0,2360.0,1651.0,2134.0,1685.0,2106.0,1219.0,3373.0,3233.0,2830.0,2231.0,2230.0,1724.0,2368.0,2150.0,1808.0,1756.0,2176.0,2014.0,2012.0,2106.0
Khon Kaen,2600.0,2368.0,2259.0,2750.0,2671.0,2866.0,2857.0,2811.0,2716.0,1671.0,4008.0,4150.0,3085.0,2520.0,3170.0,2788.0,3170.0,2607.0,2894.0,2871.0,3091.0,3104.0,2927.0,2882.0
Krabi,1294.0,1238.0,1237.0,1397.0,1356.0,1321.0,1548.0,1013.0,1343.0,884.0,1801.0,1650.0,1587.0,1303.0,1282.0,1312.0,1564.0,1104.0,1269.0,1285.0,1556.0,1540.0,1354.0,1519.0
Lampang,2105.0,1864.0,1851.0,2385.0,2301.0,1457.0,2214.0,1632.0,1340.0,886.0,1849.0,1859.0,1893.0,1849.0,1453.0,1612.0,2087.0,1093.0,1797.0,1767.0,2142.0,2141.0,1438.0,2240.0
Lamphun,1295.0,1160.0,1394.0,1295.0,1310.0,1302.0,1515.0,974.0,1161.0,863.0,1888.0,1567.0,1293.0,1129.0,1272.0,1286.0,1527.0,1094.0,1157.0,1143.0,1378.0,1190.0,1142.0,1222.0
Loei,1288.0,1181.0,1248.0,1315.0,1349.0,1220.0,1579.0,1204.0,1154.0,860.0,1928.0,1656.0,1435.0,1219.0,1366.0,1291.0,1639.0,1104.0,1239.0,1137.0,1396.0,1413.0,1271.0,1230.0
Lop Buri,2240.0,1860.0,1979.0,2412.0,2452.0,1977.0,2101.0,1599.0,2012.0,1233.0,3275.0,3194.0,3068.0,1913.0,2277.0,1877.0,2378.0,2073.0,1750.0,2042.0,2107.0,2056.0,2001.0,2090.0
