province,Jul19,Aug19,Sep19,Oct19,Nov19,Dec19,Jan20,Feb20,Mar20,Apr20,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21,May21,Jun21
Amnat Charoen,689.0,678.0,640.0,793.0,710.0,675.0,989.0,664.0,736.0,599.0,1022.0,1038.0,842.0,673.0,755.0,672.0,756.0,716.0,799.0,768.0,754.0,783.0,787.0,945.0
Ang Thong,634.0,863.0,610.0,693.0,678.0,645.0,996.0,805.0,718.0,412.0,737.0,915.0,756.0,804.0,681.0,663.0,1026.0,739.0,706.0,683.0,720.0,729.0,637.0,888.0
Bangkok,16575.0,20443.0,16507.0,16154.0,24027.0,23904.0,18874.0,15178.0,13775.0,13335.0,7273.0,16788.0,16513.0,8568.0,11991.0,12164.0,6046.0,11418.0,14594.0,12477.0,13783.0,12393.0,10473.0,11187.0
Bueng Kan,704.0,645.0,602.0,784.0,729.0,695.0,998.0,712.0,753.0,585.0,1021.0,1053.0,812.0,695.0,684.0,649.0,1190.0,940.0,713.0,706.0,738.0,739.0,681.0,889.0
Buri Ram,2410.0,2311.0,2398.0,2690.0,2648.0,2396.0,2923.0,1693.0,2285.0,1382.0,3276.0,3338.0,3190.0,2701.0,2456.0,2286.0,2442.0,2132.0,2034.0,1988.0,2191.0,2304.0,2154.0,2208.0
Chachoengsao,2330.0,2402.0,2277.0,2655.0,2665.0,2447.0,2966.0,2073.0,2274.0,1231.0,3267.0,3285.0,3164.0,2480.0,2284.0,2470.0,2184.0,2096.0,2195.0,3369.0,2913.0,2407.0,2609.0,2153.0
Chai Nat,699.0,887.0,1084.0,660.0,1064.0,643.0,1212.0,767.0,691.0,458.0,797.0,942.0,760.0,752.0,840.0,732.0,1029.0,737.0,701.0,681.0,729.0,734.0,624.0,894.0
Chaiyaphum,1411.0,1896.0,1752.0,1740.0,1392.0,1415.0,2097.0,1275.0,1321.0,911.0,1993.0,2556.0,2680.0,1867.0,1727.0,2125.0,2011.0,1850.0,1464.0,1659.0,2109.0,2177.0,1522.0,1675.0
Chanthaburi,1326.0,1732.0,1729.0,1822.0,1416.0,1402.0,2158.0,1594.0,1531.0,895.0,1816.0,2628.0,1597.0,1880.0,1688.0,1687.0,1860.0,1519.0,1709.0,1685.0,2077.0,2048.0,1535.0,2034.0
Chiang Mai,4013.0,3679.0,3507.0,4166.0,4594.0,4241.0,3655.0,2945.0,3292.0,2140.0,4164.0,4823.0,4005.0,3721.0,3856.0,3893.0,3895.0,3356.0,3590.0,3816.0,4740.0,3849.0,4160.0,4731.0
Chiang Rai,2811.0,2618.0,2232.0,2572.0,2686.0,2645.0,2790.0,2154.0,2280.0,1405.0,3924.0,3878.0,3371.0,2505.0,2600.0,2425.0,2238.0,2122.0,2503.0,2900.0,3017.0,2939.0,2740.0,2442.0
Chon Buri,3458.0,3531.0,4369.0,3802.0,4625.0,9033.0,5432.0,3594.0,3252.0,2096.0,3365.0,4809.0,4255.0,3655.0,3367.0,3410.0,3784.0,3892.0,3348.0,3678.0,4308.0,4127.0,3502.0,3871.0
Chumphon,1270.0,1283.0,1248.0,1365.0,1315.0,1330.0,1508.0,1231.0,1164.0,842.0,1854.0,1645.0,1322.0,1172.0,1291.0,1288.0,1572.0,1101.0,1390.0,1801.0,2230.0,2090.0,1385.0,2074.0
Kalasin,1351.0,1345.0,1542.0,1399.0,1433.0,1406.0,1612.0,1171.0,1628.0,872.0,1796.0,1943.0,1561.0,1410.0,1405.0,1605.0,1798.0,1140.0,1269.0,1594.0,1535.0,1494.0,1419.0,1489.0
Kamphaeng Phet,1301.0,1384.0,1673.0,1700.0,1381.0,1393.0,1967.0,1080.0,1156.0,858.0,1670.0,1543.0,1465.0,1161.0,1405.0,1254.0,1634.0,1087.0,1329.0,1508.0,1978.0,1372.0,1968.0,1353.0
Kanchanaburi,2155.0,1855.0,1871.0,2387.0,2294.0,1481.0,2179.0,1651.0,1565.0,873.0,2634.0,3098.0,2710.0,2207.0,2133.0,2131.0,2351.0,2150.0,1805.0,1756.0,2093.0,2247.0,2012.0,2059.0
Khon Kaen,2632.0,2307.0,2238.0,2750.0,2671.0,2899.0,2904.0,2726.0,2432.0,1805.0,3976.0,4073.0,3092.0,2552.0,3157.0,2966.0,3170.0,2440.0,2864.0,2911.0,3064.0,3053.0,2632.0,3101.0
Krabi,1294.0,1238.0,1226.0,1352.0,1358.0,1364.0,1519.0,1130.0,1324.0,867.0,1801.0,1839.0,1686.0,1302.0,1291.0,1286.0,1564.0,1101.0,1253.0,1690.0,1556.0,1313.0,1274.0,1386.0
Lampang,2062.0,1864.0,1848.0,2393.0,2299.0,1458.0,2150.0,1641.0,1644.0,898.0,1523.0,1859.0,1969.0,2075.0,1680.0,1619.0,2087.0,1093.0,1919.0,1767.0,2128.0,2134.0,1438.0,2239.0
Lamphun,1276.0,1182.0,1361.0,1293.0,1322.0,1328.0,1524.0,1078.0,1161.0,819.0,1612.0,1550.0,1269.0,1129.0,1272.0,1282.0,1531.0,1090.0,1242.0,1164.0,1280.0,1190.0,1152.0,1212.0
Loei,1323.0,1173.0,1225.0,1346.0,1354.0,1201.0,1518.0,1167.0,1167.0,858.0,1866.0,1656.0,1493.0,1179.0,1293.0,1227.0,1639.0,1104.0,1246.0,1271.0,1417.0,1413.0,1198.0,1220.0
Lop Buri,2201.0,1860.0,1969.0,2404.0,2402.0,1998.0,2086.0,1600.0,2250.0,851.0,3221.0,3072.0,2985.0,1931.0,2265.0,2255.0,2234.0,2024.0,1701.0,1898.0,2121.0,2058.0,2020.0,2090.0
Mae Hong Son,863.0,865.0,870.0,829.0,842.0,815.0,738.0,705.0,810.0,643.0,1152.0,1047.0,952.0,730.0,781.0,761.0,755.0,736.0,861.0,843.0,890.0,839.0,860.0,787.0
